

HSMC_RX_n1,LVDS RX bit 1n or CMOS I/O LVDS or 2.5-V,PIN_L11
HSMC_RX_n2,LVDS RX bit 2n or CMOS I/O LVDS or 2.5-V,PIN_H17
HSMC_RX_n3,LVDS RX bit 3n or CMOS I/O LVDS or 2.5-V,PIN_K11
HSMC_RX_n4,LVDS RX bit 4n or CMOS I/O LVDS or 2.5-V,PIN_J16
HSMC_RX_n5,LVDS RX bit 5n or CMOS I/O LVDS or 2.5-V,PIN_J11
HSMC_RX_n6,LVDS RX bit 6n or CMOS I/O LVDS or 2.5-V,PIN_G17
HSMC_RX_n7,LVDS RX bit 7n or CMOS I/O LVDS or 2.5-V,PIN_F12
HSMC_RX_n8,LVDS RX bit 8n or CMOS I/O LVDS or 2.5-V,PIN_F18
HSMC_RX_n9,LVDS RX bit 9n or CMOS I/O LVDS or 2.5-V,PIN_E15
HSMC_RX_n10,LVDS RX bit 10n or CMOS I/O LVDS or 2.5-V,PIN_D13
HSMC_RX_n11,LVDS RX bit 11n or CMOS I/O LVDS or 2.5-V,PIN_D15
HSMC_RX_n12,LVDS RX bit 12n or CMOS I/O LVDS or 2.5-V,PIN_D16
HSMC_RX_n13,LVDS RX bit 13n or CMOS I/O LVDS or 2.5-V,PIN_D17
HSMC_RX_n14,LVDS RX bit 14n or CMOS I/O LVDS or 2.5-V,PIN_E19
HSMC_RX_n15,LVDS RX bit 15n or CMOS I/O LVDS or 2.5-V,PIN_D20
HSMC_RX_n16,LVDS RX bit 16n or CMOS I/O LVDS or 2.5-V,PIN_A24
HSMC_RX_p0,LVDS RX bit 0 or CMOS I/O LVDS or 2.5-V,PIN_N12
HSMC_RX_p1,LVDS RX bit 1 or CMOS I/O LVDS or 2.5-V,PIN_M11
HSMC_RX_p2,LVDS RX bit 2 or CMOS I/O LVDS or 2.5-V,PIN_H18
HSMC_RX_p3,LVDS RX bit 3 or CMOS I/O LVDS or 2.5-V,PIN_L12
HSMC_RX_p4,LVDS RX bit 4 or CMOS I/O LVDS or 2.5-V,PIN_H15
HSMC_RX_p5,LVDS RX bit 5 or CMOS I/O LVDS or 2.5-V,PIN_J12
HSMC_RX_p6,LVDS RX bit 6 or CMOS I/O LVDS or 2.5-V,PIN_G16
HSMC_RX_p7,LVDS RX bit 7 or CMOS I/O LVDS or 2.5-V,PIN_G12
HSMC_RX_p8,LVDS RX bit 8 or CMOS I/O LVDS or 2.5-V,PIN_E18
HSMC_RX_p9,LVDS RX bit 9 or CMOS I/O LVDS or 2.5-V,PIN_F16
HSMC_RX_p10,LVDS RX bit 10 or CMOS I/O LVDS or 2.5-V,PIN_E13
HSMC_RX_p11,LVDS RX bit 11 or CMOS I/O LVDS or 2.5-V,PIN_C14
HSMC_RX_p12,LVDS RX bit 12 or CMOS I/O LVDS or 2.5-V,PIN_E16
HSMC_RX_p13,LVDS RX bit 13 or CMOS I/O LVDS or 2.5-V,PIN_D18
HSMC_RX_p14,LVDS RX bit 14 or CMOS I/O LVDS or 2.5-V,PIN_E20
HSMC_RX_p15,LVDS RX bit 15 or CMOS I/O LVDS or 2.5-V,PIN_D21
HSMC_RX_p16,LVDS RX bit 16 or CMOS I/O LVDS or 2.5-V,PIN_B24
HSMC_TX_n0,LVDS TX bit 0n or CMOS I/O LVDS or 2.5-V,PIN_E11
HSMC_TX_n1,LVDS TX bit 1n or CMOS I/O LVDS or 2.5-V,PIN_B9
HSMC_TX_n2,LVDS TX bit 2n or CMOS I/O LVDS or 2.5-V,PIN_C10
HSMC_TX_n3,LVDS TX bit 3n or CMOS I/O LVDS or 2.5-V,PIN_B11
HSMC_TX_n4,LVDS TX bit 4n or CMOS I/O LVDS or 2.5-V,PIN_A11
HSMC_TX_n5,LVDS TX bit 5n or CMOS I/O LVDS or 2.5-V,PIN_B19
HSMC_TX_n6,LVDS TX bit 6n or CMOS I/O LVDS or 2.5-V,PIN_C15
HSMC_TX_n7,LVDS TX bit 7n or CMOS I/O LVDS or 2.5-V,PIN_A21
HSMC_TX_n8,LVDS TX bit 8n or CMOS I/O LVDS or 2.5-V,PIN_C12
HSMC_TX_n9,LVDS TX bit 9n or CMOS I/O LVDS or 2.5-V,PIN_A9
HSMC_TX_n10,LVDS TX bit 10n or CMOS I/O LVDS or 2.5-V,PIN_A13
HSMC_TX_n11,LVDS TX bit 11n or CMOS I/O LVDS or 2.5-V,PIN_C22
HSMC_TX_n12,LVDS TX bit 12n or CMOS I/O LVDS or 2.5-V,PIN_B14
HSMC_TX_n13,LVDS TX bit 13n or CMOS I/O LVDS or 2.5-V,PIN_A22
HSMC_TX_n14,LVDS TX bit 14n or CMOS I/O LVDS or 2.5-V,PIN_B17
HSMC_TX_n15,LVDS TX bit 15n or CMOS I/O LVDS or 2.5-V,PIN_C18
HSMC_TX_n16,LVDS TX bit 16n or CMOS I/O LVDS or 2.5-V,PIN_B20
HSMC_TX_p0,LVDS TX bit 0 or CMOS I/O LVDS or 2.5-V,PIN_E10
HSMC_TX_p1,LVDS TX bit 1 or CMOS I/O LVDS or 2.5-V,PIN_C9
HSMC_TX_p2,LVDS TX bit 2 or CMOS I/O LVDS or 2.5-V,PIN_D10
HSMC_TX_p3,LVDS TX bit 3 or CMOS I/O LVDS or 2.5-V,PIN_A12
HSMC_TX_p4,LVDS TX bit 4 or CMOS I/O LVDS or 2.5-V,PIN_B10
HSMC_TX_p5,LVDS TX bit 5 or CMOS I/O LVDS or 2.5-V,PIN_C20
HSMC_TX_p6,LVDS TX bit 6 or CMOS I/O LVDS or 2.5-V,PIN_B15
HSMC_TX_p7,LVDS TX bit 7 or CMOS I/O LVDS or 2.5-V,PIN_B22
HSMC_TX_p8,LVDS TX bit 8 or CMOS I/O LVDS or 2.5-V,PIN_C13
HSMC_TX_p9,LVDS TX bit 9 or CMOS I/O LVDS or 2.5-V,PIN_A8
HSMC_TX_p10,LVDS TX bit 10 or CMOS I/O LVDS or 2.5-V,PIN_B12
HSMC_TX_p11,LVDS TX bit 11 or CMOS I/O LVDS or 2.5-V,PIN_C23
HSMC_TX_p12,LVDS TX bit 12 or CMOS I/O LVDS or 2.5-V,PIN_A14
HSMC_TX_p13,LVDS TX bit 13 or CMOS I/O LVDS or 2.5-V,PIN_A23
HSMC_TX_p14,LVDS TX bit 14 or CMOS I/O LVDS or 2.5-V,PIN_C17
HSMC_TX_p15,LVDS TX bit 15 or CMOS I/O LVDS or 2.5-V,PIN_C19
HSMC_TX_p16,LVDS TX bit 16 or CMOS I/O LVDS or 2.5-V,PIN_B21

